stationID,daytype,hour,statusS,statusN
5,0,6,2.33,2.27
5,0,7,2.60,2.69
5,0,8,2.38,2.46
5,0,9,2.18,2.29
5,0,10,2.16,2.39
5,0,11,2.12,2.38
5,0,12,2.18,2.29
5,0,13,2.27,2.23
5,0,14,2.25,2.33
5,0,15,2.46,2.44
5,0,16,2.58,2.52
5,0,17,2.73,2.46
5,0,18,2.92,2.62
5,0,19,2.96,2.52
5,0,20,3.00,2.37
5,0,21,2.69,1.94
5,0,22,2.19,1.65
5,0,23,1.94,1.58
5,1,0,1.50,1.39
5,1,1,1.19,1.13
5,1,2,1.11,1.07
5,1,3,1.10,1.06
5,1,4,1.10,1.06
5,1,5,1.26,1.24
5,1,6,2.46,2.47
5,1,7,2.62,2.65
5,1,8,2.29,2.32
5,1,9,2.26,2.30
5,1,10,2.31,2.34
5,1,11,2.25,2.33
5,1,12,2.25,2.34
5,1,13,2.36,2.36
5,1,14,2.46,2.43
5,1,15,2.65,2.63
5,1,16,2.75,2.74
5,1,17,2.85,2.77
5,1,18,2.89,2.78
5,1,19,2.91,2.73
5,1,20,2.90,2.51
5,1,21,2.77,2.04
5,1,22,2.23,1.90
5,1,23,2.11,1.88
5,5,0,2.02,1.90
5,5,1,1.42,1.21
5,5,2,1.08,1.08
5,5,3,1.04,1.04
5,5,4,1.00,1.00
5,5,5,1.00,1.00
5,5,6,1.75,1.69
5,5,7,2.08,2.08
5,5,8,2.31,2.35
5,5,9,2.42,2.31
5,5,10,2.42,2.27
5,5,11,2.40,2.19
5,5,12,2.44,2.19
5,5,13,2.57,2.30
5,5,14,2.50,2.40
5,5,15,2.50,2.48
5,5,16,2.50,2.48
5,5,17,2.56,2.52
5,5,18,2.65,2.58
5,5,19,2.67,2.52
5,5,20,2.67,2.33
5,5,21,2.67,2.06
5,5,22,2.60,1.92
5,5,23,2.33,1.92
5,6,0,1.88,1.79
5,6,1,1.48,1.48
5,6,2,1.33,1.33
5,6,3,1.33,1.33
5,6,4,1.31,1.31
5,6,5,1.25,1.25
5,6,6,1.58,1.38
5,6,7,1.88,1.73
5,6,8,1.83,1.75
5,6,9,1.83,1.75
5,6,10,1.92,1.83
5,6,11,2.00,1.85
5,6,12,2.00,1.83
5,6,13,2.00,1.81
5,6,14,2.00,1.83
5,6,15,2.04,1.87
5,6,16,2.33,2.00
5,6,17,2.38,2.06
5,6,18,2.42,2.15
5,6,19,2.46,2.17
5,6,20,2.27,2.06
5,6,21,2.06,1.90
5,6,22,1.96,1.90
5,6,23,1.77,1.56
6,0,0,1.17,1.00
6,0,1,1.08,1.00
6,0,2,1.08,1.00
6,0,3,1.08,1.00
6,0,4,1.08,1.00
6,0,5,1.08,1.00
6,0,6,2.23,1.38
6,0,7,2.52,1.35
6,0,8,2.04,1.25
6,0,9,1.92,1.20
6,0,10,1.90,1.18
6,0,11,2.06,1.23
6,0,12,2.10,1.12
6,0,13,2.19,1.12
6,0,14,2.12,1.27
6,0,15,2.56,1.65
6,0,16,2.73,1.85
6,0,17,2.81,1.88
6,0,18,3.00,2.10
6,0,19,3.00,2.10
6,0,20,3.00,1.94
6,0,21,2.75,1.56
6,0,22,2.13,1.21
